$0;1704998672775776504;1.15-SNAPSHOT;KIEKER;0db502b57f13;1;false;0;NANOSECONDS;0
$1;1704998681916635164;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681910602614;1704998681916627700;0db502b57f13;63;3
$1;1704998681916648895;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681910096945;1704998681916639357;0db502b57f13;63;3
$1;1704998681916990820;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505482;1704998681916798715;1704998681916979749;0db502b57f13;69;5
$1;1704998681916997638;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505483;1704998681916856219;1704998681916985645;0db502b57f13;69;5
$1;1704998681917106059;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505482;1704998681916708423;1704998681917094907;0db502b57f13;68;4
$1;1704998681917138971;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505483;1704998681916709039;1704998681917127880;0db502b57f13;68;4
$1;1704998681921764198;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681919849059;1704998681921739831;0db502b57f13;70;4
$1;1704998681921845983;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681916667751;1704998681921838409;0db502b57f13;67;3
$1;1704998681922051674;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505483;1704998681921941605;1704998681922044450;0db502b57f13;73;5
$1;1704998681922085237;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505483;1704998681921917218;1704998681922080248;0db502b57f13;72;4
