$0;1702083421063340800;1.15.2;KIEKER;Meshify5800X570;1;false;0;NANOSECONDS;0
$1;1702083432698653000;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127687;1702083432695933300;1702083432698649700;Meshify5800X570;5;2
$1;1702083432700675600;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127687;1702083432698671700;1702083432700673100;Meshify5800X570;7;3
$1;1702083432700685900;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;676947318989127687;1702083432698666100;1702083432700684700;Meshify5800X570;6;2
$1;1702083432701050900;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;676947318989127687;1702083432695929300;1702083432701048500;Meshify5800X570;4;1
$1;1702083432701059900;public static void kieker.examples.monitoring.application.Main.main(java.lang.String[]);<no-session-id>;676947318989127687;1702083432695876600;1702083432701058800;Meshify5800X570;0;0
$1;1702083434696661600;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;676947318989127688;1702083434696651500;1702083434696656200;Meshify5800X570;2;2
$1;1702083434696682300;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;676947318989127688;1702083434696679400;1702083434696681300;Meshify5800X570;3;2
$1;1702083434696686300;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;676947318989127688;1702083434696648500;1702083434696685400;Meshify5800X570;1;1
$1;1702083434699412800;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127688;1702083434696695100;1702083434699409300;Meshify5800X570;5;2
$1;1702083434702412000;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127688;1702083434699431900;1702083434702409800;Meshify5800X570;7;3
$1;1702083434702421400;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;676947318989127688;1702083434699426400;1702083434702420400;Meshify5800X570;6;2
$1;1702083434702425300;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;676947318989127688;1702083434696690000;1702083434702424400;Meshify5800X570;4;1
$1;1702083434702434400;public static void kieker.examples.monitoring.application.Main.main(java.lang.String[]);<no-session-id>;676947318989127688;1702083434696639100;1702083434702433500;Meshify5800X570;0;0
$1;1702083436698827000;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;676947318989127689;1702083436698818200;1702083436698822500;Meshify5800X570;2;2
$1;1702083436698848200;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;676947318989127689;1702083436698845100;1702083436698847200;Meshify5800X570;3;2
$1;1702083436698852200;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;676947318989127689;1702083436698814800;1702083436698851400;Meshify5800X570;1;1
$1;1702083436700580200;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127689;1702083436698864000;1702083436700573100;Meshify5800X570;5;2
$1;1702083436703567100;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127689;1702083436700604900;1702083436703563800;Meshify5800X570;7;3
$1;1702083436703679000;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;676947318989127689;1702083436700600500;1702083436703677400;Meshify5800X570;6;2
$1;1702083436703691400;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;676947318989127689;1702083436698855900;1702083436703690100;Meshify5800X570;4;1
$1;1702083436703695100;public static void kieker.examples.monitoring.application.Main.main(java.lang.String[]);<no-session-id>;676947318989127689;1702083436698795300;1702083436703694200;Meshify5800X570;0;0
$1;1702083438698318900;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;676947318989127690;1702083438698306300;1702083438698312200;Meshify5800X570;2;2
$1;1702083438698349400;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;676947318989127690;1702083438698345700;1702083438698348000;Meshify5800X570;3;2
$1;1702083438698354700;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;676947318989127690;1702083438698302700;1702083438698353700;Meshify5800X570;1;1
$1;1702083438700651900;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127690;1702083438698368700;1702083438700649500;Meshify5800X570;5;2
$1;1702083438702643000;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127690;1702083438700667000;1702083438702640400;Meshify5800X570;7;3
$1;1702083438702666100;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;676947318989127690;1702083438700662800;1702083438702664700;Meshify5800X570;6;2
$1;1702083438702671100;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;676947318989127690;1702083438698358900;1702083438702670200;Meshify5800X570;4;1
$1;1702083438702674200;public static void kieker.examples.monitoring.application.Main.main(java.lang.String[]);<no-session-id>;676947318989127690;1702083438698291800;1702083438702673600;Meshify5800X570;0;0
$1;1702083440696772100;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;676947318989127691;1702083440696762800;1702083440696767400;Meshify5800X570;2;2
$1;1702083440696794000;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;676947318989127691;1702083440696791300;1702083440696793000;Meshify5800X570;3;2
$1;1702083440696797800;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;676947318989127691;1702083440696759600;1702083440696797100;Meshify5800X570;1;1
$1;1702083440698558600;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127691;1702083440696804600;1702083440698556000;Meshify5800X570;5;2
$1;1702083440700553500;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127691;1702083440698572600;1702083440700551600;Meshify5800X570;7;3
$1;1702083440700562400;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;676947318989127691;1702083440698569100;1702083440700561300;Meshify5800X570;6;2
$1;1702083440700566600;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;676947318989127691;1702083440696801200;1702083440700565900;Meshify5800X570;4;1
$1;1702083440700569800;public static void kieker.examples.monitoring.application.Main.main(java.lang.String[]);<no-session-id>;676947318989127691;1702083440696746400;1702083440700569200;Meshify5800X570;0;0
