$0;1690401045692633808;1.15-SNAPSHOT;KIEKER;203b795dd534;1;false;0;NANOSECONDS;0
$1;1690401060238008314;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060236437321;1690401060237986894;203b795dd534;82;4
$1;1690401060238083838;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060234192777;1690401060238076674;203b795dd534;79;3
$1;1690401060238315658;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452418;1690401060238214155;1690401060238306882;203b795dd534;85;5
$1;1690401060238364030;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452418;1690401060238154662;1690401060238358740;203b795dd534;84;4
$1;1690401060241981240;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060240474629;1690401060241967384;203b795dd534;86;4
$1;1690401060242043398;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060238107743;1690401060242035514;203b795dd534;83;3
$1;1690401060242210175;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452418;1690401060242114884;1690401060242204264;203b795dd534;89;5
$1;1690401060242244060;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452418;1690401060242098022;1690401060242238870;203b795dd534;88;4
$1;1690401060246045790;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060244459087;1690401060246025291;203b795dd534;90;4
$1;1690401060246116154;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060242062284;1690401060246109241;203b795dd534;87;3
$1;1690401060246292148;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452418;1690401060246193822;1690401060246285786;203b795dd534;93;5
$1;1690401060246321183;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452418;1690401060246174735;1690401060246316845;203b795dd534;92;4
$1;1690401060249744756;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060248401715;1690401060249728575;203b795dd534;94;4
$1;1690401060249801664;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060246136974;1690401060249795122;203b795dd534;91;3
$1;1690401060250023285;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452418;1690401060249873200;1690401060250013947;203b795dd534;97;5
$1;1690401060250059293;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452418;1690401060249855106;1690401060250053753;203b795dd534;96;4
$1;1690401060253553287;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060252124416;1690401060253533239;203b795dd534;98;4
$1;1690401060253620975;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060249820560;1690401060253613681;203b795dd534;95;3
